,published_date,title,publisher,kode_emitten
210,2020-07-08,"Riwayat BNI, Perjuangan Si “Anak Kandung Republik”",Bisnis,BBNI
211,2020-07-08,"Peran BNI, Sejarah yang Berulang",Bisnis,BBNI
212,2020-07-09,"Blak-Blakan Mantan Bos BNI soal Kasus Pembobolan Dana Rp1,7 Triliun",Bisnis,BBNI
213,2020-07-09,"Jejak pembobol Rp 1,7 triliun BNI, ini detil kasus lengkap dan mereka yang terlibat",Kontan,BBNI
214,2020-07-09,"Buronan kasus L/C tertangkap, begini komentar BNI",Kontan,BBNI
215,2020-07-09,"Ditangkap, Ini Cerita Maria Pauline Lumowa Bobol BNI Rp1,7 T",CNBC Indonesia,BBNI
216,2020-07-10,"Kronologi lengkap kasus Maria Pauline Lumowa, pembobol BNI Rp 1,7 triliun",Kontan,BBNI
217,2020-07-13,BNI Bank Internasional Terbaik,Bisnis,BBNI
218,2020-07-14,BNI Dukung Kemudahan Bisnis 400 Investor Jepang di Indonesia,CNBC Indonesia,BBNI
219,2020-07-17,Mengukur Prospek Kinerja Keuangan dan Saham BBNI di Tengah Pandemi,Kontan,BBNI
220,2020-07-19,"Semester I/2020, Layanan Remitansi BNI di Luar Negeri Naik Signifikan",Bisnis,BBNI
221,2020-07-23,"Lewat BNI Griya, Penghasilan Rp 2 Juta Pun Bisa Dapat Rumah",CNBC Indonesia,BBNI
222,2020-07-28,"Bersiap, pelaku UMKM bisa daftar NPWP di mobile banking BNI",Kontan,BBNI
223,2020-07-29,"Berstatus Full Bank License, BNI Singapura Punya Layanan Lengkap",Bisnis,BBNI
224,2020-08-01,BNI Perkuat Pembiayaan Dolar AS di Cabang New York,Bisnis,BBNI
225,2020-08-03,"Optimalkan Full Bank License, BNI Singapura Meningkat Pesat",CNBC Indonesia,BBNI
226,2020-08-04,BNI dan Bank Mandiri Atur Strategi Tingkatkan Dana Murah,Bisnis,BBNI
227,2020-08-14,"Pacu Bisnis Internasional di 6 Kantor Cabang, BNI Go Global untuk Indonesia",Bisnis,BBNI
228,2020-08-18,"Kredit BNI Masih Tumbuh 5% di Semester I-2020, Ini Rinciannya",CNBC Indonesia,BBNI
229,2020-08-19,"Membandingkan kinerja BBNI, BBRI dan BMRI",Kontan,BBNI
230,2020-08-20,"Wah, Pembayaran Minimum Kartu Kredit BNI Kini Hanya 5 Persen dari Total Tagihan",Bisnis,BBNI
231,2020-08-31,BNI Dukung Program Bantuan Presiden Produktif untuk Usaha Mikro,Bisnis,BBNI
232,2020-09-01,Berembus Kabar Royke Tumilaar Gantikan Herry Sidharta Jadi Dirut BNI,Bisnis,BBNI
233,2020-09-02,"Royke Tumilaar ditunjuk menjadi Dirut BNI, begini kata Bank Mandiri",Kontan,BBNI
234,2020-09-02,Kementerian BUMN Ungkap Alasan Tunjuk Royke Tumilaar jadi Dirut BNI,Bisnis,BBNI
235,2020-09-02,"Lima Bankir Senior Mandiri Pindah ke BNI, Ini Penjelasan Royke Tumilaar",Bisnis,BBNI
236,2020-09-02,"Ada Kabar, Bos Bank Mandiri Akan Memimpin Bank BNI",Kontan,BBNI
237,2020-09-02,"Sah! Royke Tumilaar Jadi Dirut BNI, Gantikan Herry Sidharta",CNBC Indonesia,BBNI
238,2020-09-02,"Royke Tumilaar jadi Dirut Bank BNI, begini susunan komisaris dan direksi perseroan",Kontan,BBNI
239,2020-09-02,"Sah Jadi Nakhoda BNI, Ini Profil Royke Tumilaar",Bisnis,BBNI
240,2020-09-02,"Ikut Bedol Desa, Ini Profil 3 Eksekutif Bank Mandiri yang Jadi Direktur BNI",Bisnis,BBNI
241,2020-09-02,"5 Berita Populer Finansial, Berembus Kabar Royke Tumilaar Gantikan Herry Sidharta Jadi Dirut BNI dan Menguak ...",Bisnis,BBNI
242,2020-09-02,"Diboyong ke BNI, Ini Profil Silvano Rumantir Bankir Muda Kaya Pengalaman",Bisnis,BBNI
