,published_date,title,publisher,kode_emitten
113,2023-03-29,"Adu Cantik Saham IPO Anak MDKA (MBMA) Versus Grup Harita (NCKL), Siapa Paling Ciamik?",Kontan,MDKA
114,2023-04-06,"Rekomendasi Saham ANTM, MDKA, dan UNTR Saat Harga Emas Naik",Kontan,MDKA
115,2023-04-10,"MBMA Anak Usaha Merdeka Copper IPO, Harganya Kelewat Mahal?",CNBC Indonesia,MDKA
116,2023-04-10,"Proyek Hilirisasi Poles Prospek Emiten Nikel, Intip Rekomendasi ANTM, INCO, dan MDKA",Kontan,MDKA
117,2023-04-11,"Eksplorasi di 4 Daerah, Merdeka Copper (MDKA) Habiskan Dana Rp379,5 Miliar",Bisnis,MDKA
118,2023-04-14,"MBMA Anak Usaha Merdeka Copper Mau IPO, Layak Dikoleksi?",CNBC Indonesia,MDKA
119,2023-04-14,"Garibaldi Thohir Mundur dari Merdeka Copper Gold (MDKA), Ini Susunan Komisaris-Direksi Terbaru",Bisnis,MDKA
120,2023-04-14,"Boy Thohir Mundur dari Merdeka Copper Gold, Kenapa?",CNBC Indonesia,MDKA
121,2023-05-04,"Sebanyak 503,70 Juta Saham Merdeka Battery Materials (MBMA) Diborong Anak Usaha MDKA",Kontan,MDKA
122,2023-05-15,Merdeka Copper Gold (MDKA) akan Buyback Saham hingga Rp 600 Miliar,Kontan,MDKA
123,2023-05-15,Merdeka Copper (MDKA) Bakal Buyback Saham Rp600 Miliar,Bisnis,MDKA
124,2023-05-16,"Emiten Grup Saratoga-Boy Thohir Kompak Gelar Buyback, Ada ADRO, MDKA, SRTG, PALM",Kontan,MDKA
125,2023-05-16,"Merdeka Copper Gold Garap Proyek Tembaga Rp16,27 T, Di mana?",CNBC Indonesia,MDKA
126,2023-05-17,Merdeka Copper Gold (MDKA) Targetkan Produksi 120 Ribu Ons Emas Tahun Ini,Kontan,MDKA
127,2023-05-17,"Hasil Studi Pra Kelayakan TB Tembaga, Merdeka Copper (MDKA) Lebih Rendah Proyeksi",Kontan,MDKA
128,2023-05-17,Merdeka Copper Gold (MDKA) Targetkan Produksi 20.000 Ton Tembaga pada Tahun Ini,Kontan,MDKA
129,2023-05-19,"MDKA Punya 3 Proyek Besar pada Tahun 2023, Begini Rekomendasi Sahamnya",Kontan,MDKA
130,2023-05-19,Isyarat JP Morgan di Saham MDKA dan Tuah Proyek Tujuh Bukit,Bisnis,MDKA
131,2023-05-24,"Kuartal I-2023, Produksi Tembaga di Tambang Tembaga Wetar Milik MDKA Capai 4.053 Ton",Kontan,MDKA
132,2023-05-24,Merdeka Copper Gold (MDKA) Catatkan Produksi 120.000 Ons Emas Sepanjang 2022,Kontan,MDKA
133,2023-05-25,Grup Saratoga SRTG Utak-atik Lagi Saham Merdeka Copper MDKA,Bisnis,MDKA
134,2023-05-26,"Merdeka Copper (MDKA) Update Proyek Tambang Emas Pani, Cek Target Produksinya",Bisnis,MDKA
135,2023-05-28,Segini Luas Tambang Emas yang Dioperasikan Merdeka Copper Gold (MDKA),Kontan,MDKA
136,2023-05-31,"Menakar Valuasi Harga Saham IPO Amman Mineral (AMMN), Mending Beli Saham MDKA & ANTM?",Kontan,MDKA
137,2023-06-01,"Laba Merdeka Copper Gold (MDKA) Ambles 95,53 Kuartal I/2023, Sisa Rp46 Miliar",Bisnis,MDKA
138,2023-06-04,"Segera Jatuh Tempo, Obligasi Merdeka Copper (MDKA) Dapat Rating idA+",Bisnis,MDKA
139,2023-06-05,"Penyebab Laba Merdeka Copper Gold (MDKA) Anjlok 95,5 Persen Kuartal I/2023",Bisnis,MDKA
140,2023-06-06,"Laba Bersih Merdeka Copper (MDKA) Merosot di Kuartal I, Simak Rekomendasi Sahamnya",Kontan,MDKA
141,2023-06-13,"Garap Proyek Tembaga, Emas, dan Nikel, Begini Strategi Ekspansi Merdeka Copper (MDKA)",Kontan,MDKA
142,2023-06-13,Merdeka Copper (MDKA) Kerek Naik Produksi Emas dan Tembaga 2023,Bisnis,MDKA
143,2023-06-13,"Merdeka Copper (MDKA) Taksir Capex dan Investasi Rp11,1 Triliun",Bisnis,MDKA
144,2023-06-14,"Gencar Ekspansi, Merdeka Copper Gold (MDKA) Siapkan Capex US$ 750 Juta",Kontan,MDKA
