datetime,symbol,open,high,low,close,volume
2019-05-09 09:00:00,IDX:INKP,6700.0,6750.0,6250.0,6250.0,9329100.0
2019-05-10 09:00:00,IDX:INKP,6275.0,6525.0,6250.0,6450.0,6527200.0
2019-05-13 09:00:00,IDX:INKP,6350.0,6500.0,6175.0,6175.0,4173000.0
2019-05-14 09:00:00,IDX:INKP,6000.0,6175.0,5900.0,6100.0,8044000.0
2019-05-15 09:00:00,IDX:INKP,6125.0,6225.0,5950.0,5950.0,5023500.0
2019-05-16 09:00:00,IDX:INKP,5900.0,6050.0,5725.0,5725.0,6304100.0
2019-05-17 09:00:00,IDX:INKP,5725.0,5825.0,5500.0,5500.0,5914400.0
2019-05-20 09:00:00,IDX:INKP,5500.0,5925.0,5325.0,5850.0,8379500.0
2019-05-21 09:00:00,IDX:INKP,5875.0,6450.0,5875.0,6300.0,8984800.0
2019-05-22 09:00:00,IDX:INKP,6300.0,6325.0,5950.0,6075.0,8427200.0
2019-05-23 09:00:00,IDX:INKP,6075.0,6525.0,6050.0,6450.0,8821500.0
2019-05-24 09:00:00,IDX:INKP,6450.0,6525.0,6125.0,6175.0,7768300.0
2019-05-27 09:00:00,IDX:INKP,6200.0,6775.0,6200.0,6775.0,7577100.0
2019-05-28 09:00:00,IDX:INKP,6825.0,7100.0,6550.0,6925.0,21326800.0
2019-05-29 09:00:00,IDX:INKP,6925.0,7375.0,6750.0,7150.0,14269600.0
2019-05-31 09:00:00,IDX:INKP,7200.0,7775.0,7200.0,7750.0,21360700.0
2019-06-10 09:00:00,IDX:INKP,7850.0,8150.0,7550.0,7800.0,24999300.0
2019-06-11 09:00:00,IDX:INKP,7825.0,8025.0,7550.0,7600.0,13915600.0
2019-06-12 09:00:00,IDX:INKP,7625.0,7650.0,7000.0,7050.0,11961300.0
2019-06-13 09:00:00,IDX:INKP,7050.0,7500.0,6750.0,7425.0,15632500.0
2019-06-14 09:00:00,IDX:INKP,7500.0,7700.0,7275.0,7300.0,8814600.0
2019-06-17 09:00:00,IDX:INKP,7400.0,7675.0,7225.0,7275.0,9283700.0
2019-06-18 09:00:00,IDX:INKP,7400.0,7425.0,7250.0,7325.0,5568600.0
2019-06-19 09:00:00,IDX:INKP,7500.0,8200.0,7475.0,8175.0,26252200.0
2019-06-20 09:00:00,IDX:INKP,8400.0,10000.0,8300.0,9900.0,63697500.0
2019-06-21 09:00:00,IDX:INKP,9925.0,10150.0,9050.0,9975.0,36564800.0
2019-06-24 09:00:00,IDX:INKP,10100.0,10125.0,9325.0,9450.0,16425000.0
2019-06-25 09:00:00,IDX:INKP,9450.0,9850.0,9450.0,9700.0,12100000.0
2019-06-26 09:00:00,IDX:INKP,9725.0,9825.0,9300.0,9300.0,7935400.0
2019-06-27 09:00:00,IDX:INKP,9325.0,9950.0,9050.0,9475.0,18247800.0
2019-06-28 09:00:00,IDX:INKP,9550.0,9675.0,9275.0,9375.0,8890800.0
2019-07-01 09:00:00,IDX:INKP,9425.0,9550.0,9375.0,9450.0,3068500.0
2019-07-02 09:00:00,IDX:INKP,9475.0,9500.0,9275.0,9275.0,5729700.0
2019-07-03 09:00:00,IDX:INKP,9300.0,9475.0,9050.0,9050.0,9472600.0
2019-07-04 09:00:00,IDX:INKP,9100.0,9200.0,8700.0,8700.0,8649700.0
2019-07-05 09:00:00,IDX:INKP,8700.0,8775.0,8275.0,8400.0,9875300.0
2019-07-08 09:00:00,IDX:INKP,8400.0,8700.0,8250.0,8350.0,9087200.0
2019-07-09 09:00:00,IDX:INKP,8475.0,8975.0,8275.0,8925.0,19459600.0
2019-07-10 09:00:00,IDX:INKP,9000.0,9250.0,8625.0,8750.0,18941700.0
2019-07-11 09:00:00,IDX:INKP,8900.0,8900.0,8250.0,8350.0,16173300.0
2019-07-12 09:00:00,IDX:INKP,8350.0,8500.0,7800.0,7850.0,19350400.0
2019-07-15 09:00:00,IDX:INKP,7900.0,8200.0,7900.0,8125.0,9203000.0
2019-07-16 09:00:00,IDX:INKP,8200.0,8200.0,7825.0,8025.0,7623400.0
2019-07-17 09:00:00,IDX:INKP,8050.0,8050.0,7900.0,7900.0,3122700.0
2019-07-18 09:00:00,IDX:INKP,7900.0,8475.0,7825.0,8475.0,14852500.0
2019-07-19 09:00:00,IDX:INKP,8525.0,8625.0,8225.0,8250.0,9886900.0
2019-07-22 09:00:00,IDX:INKP,8225.0,8325.0,8075.0,8100.0,3842200.0
2019-07-23 09:00:00,IDX:INKP,8200.0,8325.0,8025.0,8100.0,7374000.0
2019-07-24 09:00:00,IDX:INKP,8150.0,8250.0,7950.0,8000.0,4547700.0
2019-07-25 09:00:00,IDX:INKP,8000.0,8050.0,7650.0,7825.0,11795800.0
2019-07-26 09:00:00,IDX:INKP,7825.0,7975.0,7500.0,7550.0,8132700.0
2019-07-29 09:00:00,IDX:INKP,7600.0,7625.0,7225.0,7275.0,7339900.0
2019-07-30 09:00:00,IDX:INKP,7350.0,7525.0,7325.0,7500.0,5223800.0
2019-07-31 09:00:00,IDX:INKP,7600.0,7600.0,7325.0,7475.0,8022400.0
2019-08-01 09:00:00,IDX:INKP,7450.0,7450.0,7350.0,7425.0,4750500.0
2019-08-02 09:00:00,IDX:INKP,7375.0,7375.0,7075.0,7100.0,6848000.0
2019-08-05 09:00:00,IDX:INKP,7050.0,7075.0,6650.0,6850.0,11318700.0
2019-08-06 09:00:00,IDX:INKP,6625.0,6875.0,6450.0,6675.0,9790700.0
2019-08-07 09:00:00,IDX:INKP,6750.0,6900.0,6675.0,6675.0,8068000.0
2019-08-08 09:00:00,IDX:INKP,6675.0,7200.0,6675.0,7200.0,11180700.0
2019-08-09 09:00:00,IDX:INKP,7300.0,7425.0,7050.0,7075.0,9211800.0
2019-08-12 09:00:00,IDX:INKP,7100.0,7200.0,6900.0,7050.0,2607400.0
2019-08-13 09:00:00,IDX:INKP,6950.0,7000.0,6725.0,6725.0,6388600.0
2019-08-14 09:00:00,IDX:INKP,7000.0,7075.0,6825.0,6925.0,8047400.0
2019-08-15 09:00:00,IDX:INKP,6750.0,8100.0,6625.0,8100.0,36355100.0
2019-08-16 09:00:00,IDX:INKP,8300.0,8450.0,7500.0,7525.0,38367500.0
2019-08-19 09:00:00,IDX:INKP,7625.0,7725.0,7325.0,7525.0,10632100.0
2019-08-20 09:00:00,IDX:INKP,7525.0,7600.0,7125.0,7150.0,8523100.0
2019-08-21 09:00:00,IDX:INKP,7150.0,7350.0,7025.0,7075.0,7865800.0
2019-08-22 09:00:00,IDX:INKP,7175.0,7250.0,6875.0,6900.0,8196400.0
2019-08-23 09:00:00,IDX:INKP,6900.0,6975.0,6800.0,6950.0,5806900.0
2019-08-26 09:00:00,IDX:INKP,6750.0,6800.0,6625.0,6700.0,9727100.0
2019-08-27 09:00:00,IDX:INKP,6775.0,6900.0,6725.0,6750.0,10073700.0
2019-08-28 09:00:00,IDX:INKP,6800.0,6875.0,6650.0,6675.0,3498800.0
2019-08-29 09:00:00,IDX:INKP,6725.0,7275.0,6675.0,7075.0,15533300.0
2019-08-30 09:00:00,IDX:INKP,7125.0,7175.0,6800.0,6850.0,8463300.0
2019-09-02 09:00:00,IDX:INKP,6850.0,6875.0,6700.0,6825.0,3830700.0
2019-09-03 09:00:00,IDX:INKP,6850.0,6850.0,6650.0,6675.0,6329100.0
2019-09-04 09:00:00,IDX:INKP,6700.0,6850.0,6650.0,6700.0,5028600.0
2019-09-05 09:00:00,IDX:INKP,6800.0,7100.0,6725.0,7050.0,16583000.0
2019-09-06 09:00:00,IDX:INKP,7150.0,7300.0,7050.0,7200.0,19188500.0
2019-09-09 09:00:00,IDX:INKP,7275.0,7450.0,7125.0,7225.0,13793900.0
2019-09-10 09:00:00,IDX:INKP,7275.0,7350.0,6925.0,7025.0,9789000.0
2019-09-11 09:00:00,IDX:INKP,7125.0,7250.0,6925.0,7225.0,7813000.0
2019-09-12 09:00:00,IDX:INKP,7275.0,7325.0,7075.0,7075.0,5038000.0
2019-09-13 09:00:00,IDX:INKP,7175.0,7175.0,7000.0,7050.0,3238300.0
2019-09-16 09:00:00,IDX:INKP,7050.0,7075.0,6750.0,6925.0,5520500.0
2019-09-17 09:00:00,IDX:INKP,6975.0,7275.0,6925.0,7175.0,10529600.0
2019-09-18 09:00:00,IDX:INKP,7200.0,7225.0,7050.0,7075.0,3460600.0
2019-09-19 09:00:00,IDX:INKP,7075.0,7100.0,6875.0,6925.0,3980100.0
2019-09-20 09:00:00,IDX:INKP,6925.0,7025.0,6875.0,6975.0,7966600.0
2019-09-23 09:00:00,IDX:INKP,6975.0,6975.0,6800.0,6825.0,3242200.0
2019-09-24 09:00:00,IDX:INKP,6825.0,6875.0,6650.0,6675.0,6040000.0
2019-09-25 09:00:00,IDX:INKP,6675.0,6750.0,6575.0,6625.0,3960200.0
2019-09-26 09:00:00,IDX:INKP,6675.0,6825.0,6625.0,6625.0,5185600.0
2019-09-27 09:00:00,IDX:INKP,6625.0,6700.0,6625.0,6625.0,2603000.0
2019-09-30 09:00:00,IDX:INKP,6700.0,6700.0,6450.0,6475.0,6400200.0
2019-10-01 09:00:00,IDX:INKP,6475.0,6650.0,6475.0,6625.0,4308400.0
2019-10-02 09:00:00,IDX:INKP,6625.0,6675.0,6250.0,6275.0,6331100.0
2019-10-03 09:00:00,IDX:INKP,6275.0,6275.0,6000.0,6100.0,6230800.0
2019-10-04 09:00:00,IDX:INKP,6125.0,6200.0,6050.0,6100.0,4026800.0
2019-10-07 09:00:00,IDX:INKP,6150.0,6200.0,6000.0,6050.0,4913800.0
2019-10-08 09:00:00,IDX:INKP,6100.0,6125.0,5950.0,6075.0,6221200.0
2019-10-09 09:00:00,IDX:INKP,6050.0,6350.0,6025.0,6200.0,7283100.0
2019-10-10 09:00:00,IDX:INKP,6200.0,6250.0,5975.0,5975.0,15563500.0
2019-10-11 09:00:00,IDX:INKP,6025.0,6125.0,6000.0,6100.0,4580400.0
2019-10-14 09:00:00,IDX:INKP,6150.0,6300.0,6150.0,6275.0,6730200.0
2019-10-15 09:00:00,IDX:INKP,6300.0,7100.0,6200.0,7000.0,28635100.0
2019-10-16 09:00:00,IDX:INKP,7075.0,7225.0,6700.0,6975.0,21082600.0
2019-10-17 09:00:00,IDX:INKP,7000.0,7025.0,6825.0,6975.0,6266100.0
2019-10-18 09:00:00,IDX:INKP,6925.0,7200.0,6875.0,7100.0,9501700.0
2019-10-21 09:00:00,IDX:INKP,7175.0,7350.0,7000.0,7050.0,12961400.0
2019-10-22 09:00:00,IDX:INKP,7100.0,7150.0,6925.0,7125.0,4473000.0
2019-10-23 09:00:00,IDX:INKP,7150.0,7325.0,7000.0,7225.0,10852900.0
2019-10-24 09:00:00,IDX:INKP,7250.0,7300.0,7125.0,7200.0,6895400.0
2019-10-25 09:00:00,IDX:INKP,7175.0,7200.0,7025.0,7025.0,4982700.0
2019-10-28 09:00:00,IDX:INKP,7025.0,7300.0,7025.0,7225.0,7447000.0
2019-10-29 09:00:00,IDX:INKP,7250.0,7625.0,7150.0,7575.0,21477100.0
2019-10-30 09:00:00,IDX:INKP,7575.0,7625.0,7375.0,7500.0,8472000.0
2019-10-31 09:00:00,IDX:INKP,7575.0,7650.0,7200.0,7275.0,11795200.0
2019-11-01 09:00:00,IDX:INKP,7225.0,7475.0,7150.0,7300.0,6787200.0
2019-11-04 09:00:00,IDX:INKP,7400.0,8050.0,7375.0,7975.0,26269400.0
2019-11-05 09:00:00,IDX:INKP,7975.0,8050.0,7800.0,7900.0,12242000.0
2019-11-06 09:00:00,IDX:INKP,8000.0,8300.0,7825.0,8075.0,17858100.0
2019-11-07 09:00:00,IDX:INKP,8075.0,8275.0,7700.0,8275.0,16061500.0
2019-11-08 09:00:00,IDX:INKP,8275.0,8400.0,8125.0,8200.0,7055600.0
2019-11-11 09:00:00,IDX:INKP,8200.0,8275.0,7850.0,8050.0,8775100.0
2019-11-12 09:00:00,IDX:INKP,8100.0,8400.0,8100.0,8375.0,14364700.0
2019-11-13 09:00:00,IDX:INKP,8375.0,8575.0,8200.0,8300.0,9209600.0
2019-11-14 09:00:00,IDX:INKP,8275.0,8275.0,7900.0,7925.0,7209500.0
2019-11-15 09:00:00,IDX:INKP,7950.0,8075.0,7900.0,8000.0,3689400.0
2019-11-18 09:00:00,IDX:INKP,8000.0,8050.0,7775.0,7975.0,3003900.0
2019-11-19 09:00:00,IDX:INKP,7975.0,8200.0,7825.0,7925.0,5521700.0
2019-11-20 09:00:00,IDX:INKP,7850.0,8025.0,7800.0,7800.0,3694600.0
2019-11-21 09:00:00,IDX:INKP,7800.0,7800.0,7400.0,7425.0,7366900.0
2019-11-22 09:00:00,IDX:INKP,7350.0,7475.0,7150.0,7250.0,7295500.0
2019-11-25 09:00:00,IDX:INKP,7250.0,7400.0,7250.0,7375.0,3364900.0
2019-11-26 09:00:00,IDX:INKP,7400.0,7475.0,6950.0,6950.0,16076500.0
2019-11-27 09:00:00,IDX:INKP,6950.0,7250.0,6750.0,7200.0,7223700.0
2019-11-28 09:00:00,IDX:INKP,7100.0,7175.0,6900.0,6925.0,4975900.0
