,datetime,open,high,low,close,volume,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,negative,positive,total_news,sentiment,type,ground_truth,prediction
1106,2021-05-06,2610.0,2670.0,2580.0,2620.0,150793800.0,2576.0,2492.0,2411.5,2407.8,2578.658274835492,2518.0462551646933,2453.9107809964567,2409.209361604266,64.6335852273918,61.63418156783473,28.350724648466823,2636.4688867377,2411.5,2186.5311132623,0.0,5.0,5.0,2,test,1,1.0
1107,2019-12-05,785.0,815.0,785.0,805.0,71148200.0,781.0,787.0,805.5,884.4,788.4391759039877,791.4989687095606,811.2303661967698,869.2778311245349,44.31102064408504,-30.244775347253267,-34.578592513709104,855.3898787330656,805.5,755.6101212669344,0.0,0.0,0.0,0,test,0,0.0
1108,2020-05-04,490.0,505.0,484.0,494.0,64158400.0,499.8,496.5,510.2,516.32,499.1153190731099,499.91135494196016,499.8128202991829,538.3962297911792,47.74473030796829,-3.311971218372776,-4.982348074127647,556.2373761198448,510.2,464.1626238801552,1.0,5.0,6.0,2,test,2,2.0
1109,2021-05-31,2480.0,2480.0,2410.0,2450.0,57366900.0,2380.0,2431.0,2505.0,2385.0,2421.162197740014,2437.433279948465,2452.121499589361,2433.5816892347784,49.98084411477985,-6.956227263768142,11.991924753409307,2738.3666642860544,2505.0,2271.6333357139456,2.0,4.0,6.0,2,test,1,1.0
1110,2019-12-16,855.0,865.0,850.0,865.0,83127000.0,840.0,820.0,809.0,866.7,842.7915932856472,828.1681677073495,824.1259038868725,860.8730831980766,60.47150386240629,-4.323319152964473,-17.21210402807691,867.6174035590113,809.0,750.3825964409887,1.0,3.0,4.0,2,test,0,0.0
1111,2023-09-15,1900.0,1920.0,1895.0,1900.0,46983300.0,1923.0,1936.0,1956.25,1977.9,1917.18964093309,1932.9142282068565,1950.0521207107315,1971.4797475493167,30.79977521220816,-18.95392455554611,-12.456323634014227,2014.4629710631573,1956.25,1898.0370289368427,2.0,1.0,3.0,-1,test,0,1.0
1112,2021-07-21,2620.0,2640.0,2540.0,2560.0,98684500.0,2604.0,2571.0,2422.0,2433.4,2587.854483737707,2547.468486228712,2482.025199554806,2431.573304097819,57.93805532762357,68.43309894083995,43.70563923979048,2745.3326460473795,2422.0,2098.6673539526205,0.0,3.0,3.0,2,test,0,0.0
1113,2020-06-22,610.0,625.0,600.0,605.0,49752700.0,616.0,601.0,577.0,538.88,608.2406652722981,600.1410162508482,581.6699471753218,560.737103711335,58.372558011027046,23.427721643087462,21.919343891992952,650.3757453113766,577.0,503.6242546886234,1.0,11.0,12.0,2,test,2,2.0
1114,2021-08-16,2370.0,2400.0,2350.0,2390.0,48998000.0,2354.0,2387.0,2483.5,2418.4,2378.0458057257715,2399.2958480692214,2432.063760829484,2437.802097803288,45.8781392329845,-29.251050042131737,-10.581505536478112,2707.5781113808307,2483.5,2259.4218886191693,2.0,5.0,7.0,2,test,1,1.0
1115,2021-05-19,2580.0,2640.0,2530.0,2550.0,111892800.0,2602.0,2602.0,2498.0,2380.8,2581.1853629485204,2570.192344430127,2519.284110883089,2450.454869097564,53.88459853944193,61.66646560102299,58.013520230741975,2736.1260170581954,2498.0,2259.873982941805,0.0,4.0,4.0,2,test,1,1.0
1116,2023-07-14,1995.0,2020.0,1995.0,2000.0,21060000.0,1992.0,1987.5,1999.25,2002.5,1993.115905053452,1991.2472682008013,1992.0719511576813,2002.1335020954768,51.35532023356204,-2.2618294319897814,-3.654804755597,2056.979974883071,1999.25,1941.520025116929,0.0,8.0,8.0,2,test,1,1.0
1117,2019-08-28,1030.0,1060.0,1025.0,1050.0,102409700.0,1031.0,1060.0,1026.25,931.3,1039.4460920877386,1041.7579641093198,1021.6651773622503,955.0747673398256,57.27369661453533,33.706419865249586,43.36498118992282,1165.0258984838506,1026.25,887.4741015161494,1.0,3.0,4.0,2,test,0,0.0
1118,2019-05-16,700.0,715.0,680.0,685.0,52975400.0,714.0,738.0,804.5,889.1,711.1422064500483,740.9803888699338,786.6951987478783,850.8352706592452,20.80524706167045,-55.14017731736942,-45.27103418432513,947.6397918120604,804.5,661.3602081879396,1.0,1.0,2.0,1,test,2,2.0
1119,2023-08-22,1950.0,1960.0,1935.0,1945.0,36188400.0,1959.0,1979.5,1989.5,1993.6,1958.6105195319635,1972.419874878041,1982.6851490262568,1992.267062848328,38.25435237911678,-9.569644596134594,-2.4201265971433834,2044.8082272361,1989.5,1934.1917727639009,1.0,3.0,4.0,2,test,0,0.0
1120,2022-11-01,1845.0,1845.0,1805.0,1810.0,27101000.0,1828.0,1815.0,1844.5,1929.6,1822.5889578146268,1824.8474777524173,1848.7034245540344,1908.4376680157727,40.70347392120662,-35.217583986343016,-40.8481555708311,1945.4900985245583,1844.5,1743.5099014754417,2.0,6.0,8.0,2,test,2,1.0
1121,2020-08-19,810.0,815.0,795.0,795.0,88404200.0,785.0,797.5,751.5,673.0,792.25215271848,782.299860554879,753.795592993302,689.4365072301285,62.94386610263783,39.10189381915097,39.900917370422896,855.042261903051,751.5,647.957738096949,2.0,3.0,5.0,2,test,2,2.0
1122,2022-03-23,2550.0,2560.0,2460.0,2500.0,177608500.0,2430.0,2440.0,2426.5,2101.3,2461.910044852209,2445.4249244007374,2378.5710975027723,2248.257293941503,59.15901381153133,98.57419287642232,114.69296922748237,2797.135939973446,2426.5,2055.864060026554,0.0,3.0,3.0,2,test,0,0.0
1123,2018-11-12,695.0,700.0,685.0,685.0,22863900.0,694.0,689.5,718.75,769.0,693.7820737639735,699.2011379975556,718.2618800911295,762.7836799865535,35.91052715320263,-26.55055934663426,-27.97968216828469,787.224447788938,718.75,650.275552211062,1.0,1.0,2.0,1,test,2,2.0
1124,2023-05-02,2090.0,2100.0,2030.0,2060.0,50505300.0,2090.0,2103.0,2080.25,2031.4,2085.9748493187512,2087.2416502472697,2068.034179576385,2053.582616991636,50.08212840537132,23.68638766246704,25.2392200955642,2165.248529399043,2080.25,1995.251470600957,3.0,7.0,10.0,2,test,1,1.0
1125,2022-12-27,2010.0,2040.0,1985.0,1990.0,38335400.0,2012.0,2000.5,1991.0,1952.0,2002.0349410454585,1999.0826580412383,1990.3241138459373,1972.623550024116,50.70815726975848,11.761002009177671,11.086103012064552,2077.3481325796915,1991.0,1904.6518674203085,0.0,0.0,0.0,0,test,1,1.0
1126,2020-02-03,725.0,730.0,705.0,715.0,45970300.0,735.0,755.5,806.75,815.0,733.8453357995962,755.8215192987407,784.3974060038606,821.1637932287495,26.052888755089743,-31.18231179811277,-20.64855667558754,923.2950556651804,806.75,690.2049443348196,2.0,3.0,5.0,2,test,0,0.0
1127,2020-08-31,830.0,855.0,810.0,820.0,229956400.0,802.0,794.5,781.5,698.0,806.6723426254907,797.0514479564325,775.0424413654817,712.8893275861078,65.53124553088252,32.24782718875099,34.64667489654592,860.9418025978766,781.5,702.0581974021234,0.0,2.0,2.0,2,test,2,2.0
1128,2022-11-10,2000.0,2020.0,1985.0,2000.0,108008900.0,1980.0,1908.5,1858.25,1926.1,1970.384721810824,1929.5629512266305,1901.4496743008087,1917.795413154265,63.07820432313317,19.388826704563144,-7.658694019526865,2008.025665580227,1858.25,1708.474334419773,2.0,5.0,7.0,2,test,2,1.0
1129,2022-07-08,1725.0,1755.0,1710.0,1715.0,83303200.0,1733.0,1780.5,1942.5,2284.0,1739.8569953669764,1799.975917924428,1932.992326899624,2160.791121953624,23.56992970375825,-172.25896550961647,-163.50726323989056,2302.4652761031266,1942.5,1582.5347238968736,3.0,2.0,5.0,-1,test,2,2.0
1130,2022-02-24,2190.0,2240.0,2120.0,2220.0,303802600.0,2172.0,2030.0,1914.75,2033.1,2153.0472072723683,2067.7837554965217,1997.4250573663576,2035.761615945209,70.32875139689331,53.34529041948144,-3.25531411840352,2229.2412558402857,1914.75,1600.2587441597143,2.0,3.0,5.0,2,test,1,1.0
1131,2023-04-10,2100.0,2100.0,2010.0,2020.0,48186800.0,2072.0,2057.5,1961.0,2071.4,2060.2625756083394,2041.0215028306147,2015.0855600843336,2030.0735289645768,50.61017224848543,18.07081014736628,-2.2904903204698206,2170.70455407549,1961.0,1751.2954459245102,4.0,6.0,10.0,2,test,1,1.0
1132,2021-06-24,2280.0,2290.0,2240.0,2250.0,59257500.0,2238.0,2309.0,2375.0,2414.2,2260.016290683962,2295.8875135605226,2346.617605585316,2391.0625880136054,40.96429308337954,-55.41153809278831,-38.06922102925686,2570.601635984978,2375.0,2179.398364015022,0.0,5.0,5.0,2,test,1,1.0
1133,2021-10-13,2360.0,2370.0,2330.0,2340.0,70802000.0,2360.0,2322.0,2326.5,2351.0,2351.7186038912578,2339.772123173927,2340.11625668703,2362.085881818098,49.476149844795984,-6.227871906725795,-15.659725056428847,2423.5103087305674,2326.5,2229.489691269433,1.0,3.0,4.0,2,test,1,1.0
1134,2018-12-04,735.0,735.0,705.0,710.0,114477100.0,657.0,638.0,661.75,724.9,673.8464268388594,659.1007532143523,666.4522948544735,712.1589460419448,56.0994984268932,-16.957154011004263,-27.91635523110031,742.8841481744894,661.75,580.6158518255106,0.0,2.0,2.0,2,test,2,2.0
1135,2021-12-23,2260.0,2270.0,2240.0,2240.0,19005000.0,2244.0,2272.0,2298.0,2352.2,2251.517395972016,2268.724445919655,2294.689368582531,2330.0274409396707,38.688496260106064,-30.31481583394361,-23.655763430864216,2373.259550888907,2298.0,2222.740449111093,2.0,14.0,16.0,2,test,2,2.0
1136,2022-07-15,1600.0,1605.0,1535.0,1540.0,227657100.0,1674.0,1703.5,1817.5,2175.0,1649.0346660565567,1708.1741682915322,1827.36860514562,2071.878963406186,18.74374063633484,-161.7448130155899,-160.96944795983825,2115.1155237886624,1817.5,1519.8844762113374,1.0,2.0,3.0,2,test,2,2.0
1137,2021-10-19,2530.0,2540.0,2460.0,2530.0,153636200.0,2454.0,2403.0,2347.0,2357.8,2470.586390892101,2423.5219520623004,2388.599558248417,2380.1646386546176,64.21093015275503,30.263712946657503,4.3340251011967625,2507.63623501564,2347.0,2186.36376498436,0.0,1.0,1.0,2,test,1,1.0
1138,2020-09-14,780.0,805.0,780.0,800.0,61791200.0,787.0,810.5,802.5,738.6,790.23493164742,797.5103134634825,793.0906485736407,744.1396999592665,53.498493669671696,13.630462469057193,23.44509496596796,854.892747589719,802.5,750.107252410281,0.0,7.0,7.0,2,test,2,2.0
1139,2020-06-11,600.0,605.0,570.0,580.0,73061000.0,601.0,574.5,549.0,514.58,589.6666793009065,577.322286177071,557.145767074696,546.5824797221541,58.108821214695936,22.75238714377474,17.05585851758729,617.1615727518079,549.0,480.8384272481921,1.0,6.0,7.0,2,test,2,2.0
1140,2020-01-02,845.0,850.0,825.0,840.0,26829200.0,836.0,840.0,826.25,842.1,837.8239747885104,835.5698936569053,831.7478488766628,853.6775367084543,52.34921808684534,1.0877243068921416,-2.312718518253792,871.843310912896,826.25,780.656689087104,1.0,2.0,3.0,2,test,0,0.0
1141,2023-03-03,2010.0,2040.0,1985.0,1995.0,63901300.0,2001.0,2024.5,2114.75,2138.0,2006.4624895430704,2035.5469588861,2087.880164416348,2109.633211459215,30.653012972739123,-55.23448431548013,-38.69842812619975,2317.172207279735,2114.75,1912.327792720265,2.0,1.0,3.0,-1,test,1,1.0
1142,2021-10-25,2450.0,2460.0,2410.0,2420.0,50651600.0,2468.0,2436.0,2366.0,2363.8,2441.6552269309927,2427.06799628356,2399.9443224301795,2386.1325551490536,52.79376834521523,27.50253858453334,16.442799391383303,2532.180624622728,2366.0,2199.819375377272,2.0,7.0,9.0,2,test,1,1.0
1143,2022-07-12,1720.0,1770.0,1720.0,1740.0,88165200.0,1723.0,1751.0,1893.5,2239.8,1735.4919979408785,1777.173961585774,1896.2590249677191,2127.681462441619,27.04321925485313,-161.28084957326155,-163.79234088731005,2220.0440245969908,1893.5,1566.9559754030097,0.0,6.0,6.0,2,test,2,2.0
