,published_date,title,publisher,kode_emitten
122,2019-10-17,BCA Raih Penghargaan ‘Best Financial Sector’,Bisnis,BBCA
123,2019-10-18,BCA Surabaya Kejar Penyaluran Kredit 1.500 Kendaraan,Bisnis,BBCA
124,2019-10-19,"Agar tak boros belanja, begini cara kontrol kartu kredit BCA",Kontan,BBCA
125,2019-10-24,Siap-siap! Saham BCA Bisa Tembus Rekor Baru Lagi,CNBC Indonesia,BBCA
126,2019-10-24,"Suku Bunga Turun, Saham BBCA Sentuh Level Tertinggi",CNBC Indonesia,BBCA
127,2019-10-26,"Incar Dana Rp1,5 Triliun, BCA Finance Tawarkan Obligasi dengan Bunga 7,8%",Bisnis,BBCA
128,2019-10-28,"Q3-2019, Laba BCA Naik 13% Jadi Rp 20,9 T",CNBC Indonesia,BBCA
129,2019-10-28,Jadikah Alipay dan WeChat Kerja Sama dengan Bank BCA?,CNBC Indonesia,BBCA
130,2019-10-29,Kinerja Operasional Yang Solid Dorong Laju Bisnis BCA,CNBC Indonesia,BBCA
131,2019-11-04,BCA Salurkan Beasiswa Rp350 Juta untuk 50 Mahasiswa UB,Bisnis,BBCA
132,2019-11-04,Kongsi BCA Dengan Alipay dan WeChat Pay Dimulai Awal 2020,Bisnis,BBCA
133,2019-11-05,Sah! BCA Rampungkan Akuisisi Bank Royal Rp 988 M,CNBC Indonesia,BBCA
134,2019-11-08,Nasib Ribuan Cabang BCA yang Mulai Ditinggal Nasabah,CNBC Indonesia,BBCA
135,2019-11-10,"Transaksi Tinggal 1,8%, Bagaimana Nasib Kantor Cabang BCA?",CNBC Indonesia,BBCA
136,2019-11-11,BCA-JCB Black Manjakan Para Pelancong ke Mancanegara,Bisnis,BBCA
137,2019-11-11,Bos BCA: Kami Sudah Digital Bank,CNBC Indonesia,BBCA
138,2019-11-11,Cerita BCA yang Tak Lagi Jor-joran Buka Kantor Cabang,CNBC Indonesia,BBCA
139,2019-11-16,Bank BCA Lelang Rumah Milik Mantan Dirut Tiga Pilar (AISA) Seharga Rp 106 Miliar,Kontan,BBCA
140,2019-11-20,Malindo Feedmill (MAIN) mengantongi pinjaman Rp 250 miliar dari BCA,Kontan,BBCA
141,2019-11-23,BCA Siapkan Implementasi Blockchain demi Efisiensi,Bisnis,BBCA
142,2019-11-23,15 Finalis Lolos Kompetisi Teknologi Berbasis Blockchain BCA Finhacks 2019,Bisnis,BBCA
143,2019-11-28,"2020, BBCA Suntik Modal Bank Royal Rp 700 M",CNBC Indonesia,BBCA
144,2019-11-30,"Uang tunai di dompet kurang, bisa bayar transaksi pakai Flazz BCA",Kontan,BBCA
145,2019-12-03,"Ini penyebab layanan m-BCA mengalami gangguan, Senin (2/12)",Kontan,BBCA
146,2019-12-03,"Mobile Banking BCA Error, Ini Penjelasan dari Manajemen",Bisnis,BBCA
147,2019-12-04,BCA RAIH PENGHARGAAN MARKETEER OF THE YEAR,Bisnis,BBCA
148,2019-12-04,"Ekspansi Fintech, BCA Suntik Central Capital Ventura Rp 200 M",CNBC Indonesia,BBCA
149,2019-12-10,"JP Morgan: Mandiri, BRI dan BCA Tumbuh di Atas Ekspektasi",CNBC Indonesia,BBCA
150,2019-12-11,BCA Akuisisi Rabobank Senilai Rp397 Miliar,Bisnis,BBCA
151,2019-12-11,"Ini Alasan BCA Akuisisi Rabobank Indonesia, Dimergerkah?",CNBC Indonesia,BBCA
152,2019-12-11,Wah! BCA Resmi Caplok Rabobank Indonesia,CNBC Indonesia,BBCA
153,2019-12-11,BCA Sudah Caplok 2 Bank dalam Setahun,CNBC Indonesia,BBCA
154,2019-12-12,"Hikayat Rabobank Indonesia, Tutup Operasi hingga Dicaplok BCA",CNBC Indonesia,BBCA
155,2019-12-12,"Ikut Caplok Rabobank Indonesia, Begini Kinerja BCA Finance",CNBC Indonesia,BBCA
156,2019-12-14,"Usai diakuisisi BBCA, Bank Royal Minta Nasabah Tutup Rekening dan Tarik Dana",Kontan,BBCA
157,2019-12-18,Ini Jadwal Layanan Kantor BCA di Libur Natal 2019 dan Tahun Baru 2020,Bisnis,BBCA
158,2019-12-19,"Sempat Rekor Harga Tertinggi, Apakah Saham BCA Sudah Mahal?",CNBC Indonesia,BBCA
159,2019-12-20,BCAP Beli Aset Default di Reksa Dana MNC Asset Management,Bisnis,BBCA
160,2019-12-23,Jahja Setiaatmadja jual saham BBCA jelang akhir tahun,Kontan,BBCA
161,2019-12-23,"Jajan Sederhana, Berapa Nilai Saham Bambang Hartono di BCA?",CNBC Indonesia,BBCA
162,2019-12-24,"Tebak! Jika Saham BCA Rp 40.000, Berapa Kekayaan Duo Hartono?",CNBC Indonesia,BBCA
163,2020-01-03,"Terdampak Banjir, Enam Kantor Cabang BCA Tutup Sementara",CNBC Indonesia,BBCA
164,2020-01-06,BCA Syariah Tekan Pembiayaan Bermasalah di Bawah 1 Persen,Bisnis,BBCA
165,2020-01-07,Pembiayaan BCA Finance Menyusut Tergerus Permintaan Roda Empat,Bisnis,BBCA
166,2020-01-08,"2019, Aset BCA Syariah Melesat 22 Persen",Bisnis,BBCA
167,2020-01-13,Kolaborasi BCA dengan WeChat akan Meluncur Dalam Waktu Dekat,CNBC Indonesia,BBCA
168,2020-01-13,"Kongsi dengan WeChat Pay & Alipay, Ini yang Disiapkan BCA",Bisnis,BBCA
169,2020-01-15,Harga Saham BCA Cetak Rekor Baru,CNBC Indonesia,BBCA
170,2020-02-06,"PER saham BBCA hampir 30 kali, kemarin saham ini paling diincar asing",Kontan,BBCA
171,2020-02-08,"Mana yang lebih cuan: saham BCA atau deposito BCA? Yuk, kita hitung!",Kontan,BBCA
172,2020-02-18,"Hendra Lembong, Jebolan Citibank yang Kabarnya Gabung ke BCA",CNBC Indonesia,BBCA
173,2020-02-18,"Ada Kabar Gabung ke BCA, Siapa Haryanto Budiman?",CNBC Indonesia,BBCA
174,2020-02-20,"Laba BCA 2019 Tembus Rp 28,6 T, Melesat 11%",CNBC Indonesia,BBCA
175,2020-02-20,BCA Expoversary Makassar Tawarkan Promo Kredit Rumah dan Kendaraan,Bisnis,BBCA
